Item ID,Name,Purchase Link,Image_url,Image_file,Date Last Purchased,Category,Vendor,Makerspace_quantity,Backroom_quantity,Location,Alert
AcrylicMedium_1,"Acrylic Medium, 1 qt Bottle, Matte","Sax True Flow Non-Toxic Acrylic Medium, 1 qt Bottle, Matte",https://images.schoolspecialty.com/images/442139_ecommthumbnail.jpg,,12/30/2022,PT,DOE,1,0,,0
AluminumFoil_1,"Aluminum Foil , 18 in x 500 ft, Heavy Duty","Crystalware Commercial Grade Aluminum Foil , 18 in x 500 ft, Heavy Duty",https://images.schoolspecialty.com/images/2003401_A_ecommthumbnail.jpg,,3/22/2023,SC,DOE,2,0,,0
Baren_1,"Speedball Baren for Block Printing, 4 in","Speedball Hardwood Handle Plastic Durable Round Baren for Block Printing, 4 in, Red",https://images.schoolspecialty.com/images/407267_ecommthumbnail.jpg,,11/30/2022,PRTM,DOE,0,0,,0
Box_17Ltr,Box 17 Ltr,"Really Useful Box 17 Liter, Clear, Pack of 4",http://www.staples-3p.com/s7/is/image/Staples/s1039488_sc7.jpg,,3/22/2023,MISC,DOE,4,0,,0
Box_8Ltr,Box 8.1 Ltr 5 pack,"Really Useful Box 8.1 Liter, Clear, Pack of 5",,,3/22/2023,MISC,DOE,0,0,,0
Brayer_1,"Speedball Soft Rubber Brayer, 4 in","Speedball Plastic Handle Soft Rubber Brayer, 4 in",https://images.schoolspecialty.com/images/216486_A_ecommthumbnail.jpg,,11/30/2022,PRTM,DOE,0,0,,0
Brush_Bristle,"White Bristle Short Handle Paint Brush Set, Assorted Size, Clear, Set of 72","https://www.finance360.org/shopdoe/ProductDetail.aspx?dsNav=Ny:True,Ro:0,N:4294203260",https://www.schoolspecialty.com/wcsstore/SSIB2BStorefrontAssetStore/images/products/248322.jpg,,2022,PT,DOE,8,0,,0
BrushCleaner_1,"Sax Non-Toxic Brush Cleaner, 1 pt","Sax Non-Toxic Brush Cleaner, 1 pt",https://images.schoolspecialty.com/images/1367991_ecommthumbnail.jpg,,12/30/2022,MISC,DOE,1,0,,0
BrushCleaner_3,"Paint Puck Brush Cleaner - Pastels, Pkg of 3",,,,3/22/2023,MISC,BLICK,0,0,,0
Brushes_1in,"Multi-Purpose Paint Brush 1""","Royal Brush Multi-Purpose Golden Taklon Paint Brush Set, Assorted Size, Set of 3",https://images.schoolspecialty.com/images/402548_ecommthumbnail.jpg,,3/22/2023,PT,DOE,60,0,,0
